Pregunta,Tema,Pers/empresa,Label
"Buenos dìas, necesito servicios de provisiòn de jubilaciòn del personal",Jubilacion Patronal,empresa,Cotizacion
"Buenos Dias, favor necesito un estudio actuarial para nuestra empresa que se compone de 40 empleados aporx.",Jubilacion Patronal,empresa,Cotizacion
"Buenos días... Estimada Daniela le saludos de la Fundación Cuesta Holguin, hace un mes nos ayudaron con el estudio Actuarial de nuestra Fundación..",Jubilacion Patronal,empresa,Ambigous
Buenos dìas necesito servicios de provisiòn de jubilaciòn del personal,Jubilacion Patronal,empresa,Cotizacion
buenos dias cual seria el costo del estudio para una empresa y persona  obligada llevar contablidad,Jubilacion Patronal,empresa,Cotizacion
"Le saludo de la firma de auditoria Mackliff Audit Corporation, Queria un estudio actuarial ",Jubilacion Patronal,empresa,Cotizacion
"BUENAS TARDES, NECESITO QUE ME AYUDEN CON UN ESTUDIO ACTUARIAL PARA UNA EMPRESA QUE AL MOMENTO CUENTA CON 8 EMPLEADOS , ME PUEDEN INDICAR QUE SE NECESITA, UNA COTIZACIÓN, Y UN TIEMPO ESTIMADO DE ENTREGA. MUCHAS GRACIAS",Jubilacion Patronal,empresa,Cotizacion
"Estimados, Quiero saber mas sobre el servicio de valoracion actuarial, y sus costos",Jubilacion Patronal,empresa,Cotizacion
Quisiera una cotización de un estudio actuarial,Jubilacion Patronal,empresa,Cotizacion
"Le saluda Claudia Camino de ZHM Seguros, nosotros ya trabajamos un estudio actuarial con uds actualmente requiero cotizar un estudio de jubilación patronal de una colaboradora que requiere jubilarse",Jubilacion Patronal,empresa,Cotizacion
"Buen dia, disculpe quisiera saber cual es el costo del calculo actuarial",Jubilacion Patronal,empresa,Cotizacion
"Buenas tardes,somos de Servicios Petroleros Galeth, solicitamos la base legal  que respalde que las empresas deben presentar estudios actuariales, gracias.",Jubilacion Patronal,empresa,Info
"Por favor, a qué telefono le llamo para solicitar cotizacion del estudio actuarial?",Jubilacion Patronal,empresa,Cotizacion
ESTIMADOS UN INFORME ACTUARIAL CADA CUANTOS AÑOS SE LO REALIZA,Jubilacion Patronal,empresa,Info
necesito cotización para un estudio actuarial.   Que información necesita para enviarme una proforma.,Jubilacion Patronal,empresa,Cotizacion
Buenos dias por favor el día de ayer solicite me ayuden con una cotizacion del servicio del calculo actuarial envie los datos que me solicitaron y hasta el momento no tengo respuesta,Jubilacion Patronal,empresa,Cotizacion
Estimados buenos dias somos clientes de Actuaria(Magnolia RUC 0992876905001 y nos están consultando uds qué tasa aplicar para el estudio actuarial ya que somo NIIF Full Por favor ayúdeme indicando el numero de resolucion de la SUPERCIAS que aclaró este tema para proceder a responderle,Jubilacion Patronal,empresa,Info
"Buenas noches necesito que por favor me ayuden con una cotizacion para el calculo actuarial del 2018 para la empresa Exoticgardens S.A. el ruc es 1792481082001, el correo es evggallardo@gmail.com Mi nombre es Lucy Araque  Muchas gracias",Jubilacion Patronal,empresa,Cotizacion
"Buenas tardes mi estimada Daniela, quisiera saber si una pyme esta obligada a calcular la provision de jubilacion patronal y desahucio",Jubilacion Patronal,empresa,Info
mi pregunta  a 27 años de trabajo cuanto en una empresa agricola  y que  se cambio de razon social  por tres acaciones a cuanto  es el porcentaje  que se  debe hacer el calculo,Jubilacion Patronal,empresa,Info
"Por favor es tan amable, necesito saber si me pueden ayudar con una cotizacion para la realizacion de un estudio actuarial del 2017 y del 2018",Jubilacion Patronal,empresa,Cotizacion
Buenas tardes Me gustaría saber si ustedes podrían ofrecer un servicio de capacitación respecto a la jubilación patronal para los miembros del staff de la Delegación de la Unión Europea,Jubilacion Patronal,empresa,Cotizacion
"Somos de la compañía TRANSLIBERTADOR S.A., ustedes nos hicieron el favor de realizar el estudio actuarial de jubilación patronal y de desahucio. Existe alguna posibilidad de que nos ayuden guiando con el registro contable de los mismos.",Jubilacion Patronal,empresa,Info
necesito me ayude con informacion tengo una nomina de 18 trabajadores pero dentro de ellos un persona de 80años que  necesito jubilarlo cual seria el costo  si usted me ayudaraia con el calculo,Jubilacion Patronal,empresa,Cotizacion
necesito me ayude con informacion tengo una nomina de 18 trabajadores pero dentro de ellos un persona de 80años que  necesito jubilarlo cual seria el costo  si usted me ayudaraia con el calculo,Jubilacion Patronal,empresa,Cotizacion
mi empresa Tiene 10 trabajadores y empezamos a contratar trabajadores desde el 2017 necesito saber si estoy obligado a realizar el estudio actuarial,Jubilacion Patronal,empresa,Info
Buenas tardes cuanto me costaría realizar un cálculo del proporcional de jubilación patronal por 21 años de servicios.,Jubilacion Patronal,empresa,Cotizacion
buenas tardes por favor yo pedi que me ayuden con una cotizacion para la empresa Sergorey pero no he tenido respuesta necesito mandar a elaboara el informe actuarial,Jubilacion Patronal,empresa,Cotizacion
ggarofalo@cargoline.ec gardenia garofalo de la empresa Cargoline del Ecuador S.A. ..Por favor indicarme el costo por la estimación actuarial JUBILACION Y DESAHUCIO de 4 empleados.,Jubilacion Patronal,empresa,Cotizacion
Requiero actualizar el estudio actuarial realizado por ustedes para el ejercicio 2017,Jubilacion Patronal,empresa,Cotizacion
"Solicité una cotización y me enviaron dos precios una como NIIF y otra cómo NEC, cuál es la diferencia por favor me podrían aclarar.",Jubilacion Patronal,empresa,Info
Buenas tardes Me interesa que me elaboren el estudio actuarial?  Cual es el costo?,Jubilacion Patronal,empresa,Cotizacion
Buenas tardes favor me podria ayudar con una cotizacion para estudio actuarial de una empresa ,Jubilacion Patronal,empresa,Cotizacion
Le escribo de la empresa Baltic Reefers. Nos han sido referenciados por uno de nuestros clientes para la elaboracion de un estudio actuarial nos gustaria conocer costos y el tiempo de entrega,Jubilacion Patronal,empresa,Cotizacion
Estimada buenas tardes pregunta a que se refiere con provisiones futuras dentro de un estudio actuarial y eso debe ser contabilizado,Jubilacion Patronal,empresa,Info
por favor quiero consultarles es necesario realizar el estudio actuarial si manejo solo una empelada para una compañia ?,Jubilacion Patronal,empresa,Info
"Necesito un estudio actuarial para provicion por jubilaciones, es para una empresa de servicios educativos ",Jubilacion Patronal,empresa,Cotizacion
necesito su ayuda quisiera saber cual es el asiento para la contabilizacion del estudio actuarial gracias nosotros hicimos el estudio con uds.,Jubilacion Patronal,empresa,Info
"podria explicarme un poquito para poder indicarles bajo que modalidad trabajaremos Buenos días, necesito me confirme la tasa de descuento con la que se desea trabajar: Bonos corporativos de alta calidad de los Estados Unidos (tasa aproximada del 4.25%) Bonos corporativos de alta calidad del Ecuador (tasa aproximada del 7.72%) este es para te del mail que Danile le pasa a mi compañera Lorena podria por favor indicarme a que hace referencia este tema o donde puedo encontrar la base legal sobre esto...??",Jubilacion Patronal,empresa,Info
Buenas tardes hace unos dias solicite la cotizacion de un estudio actuarial para mi compañia pero hasta ahora no he recibido nada y me interesa poder tenerlo dentro de este mes estoy ubicada en la ciudad de Guayaquil,Jubilacion Patronal,empresa,Cotizacion
"he enviado un correo a info@actuaria.com.ec y por este medio, para que me ayuden con una cotizacion para un informe actuarial del 2018 no he recibido respuesta me puede ayudar por este medio? 
mi correo es alvaro.aldas@imetel.com.ec somos 63 trabajadores",Jubilacion Patronal,empresa,Cotizacion
buenos dias la semana pasada envié solicitud de cotizacion para unos servicios de calculo por jubilaciòn aún no me ha llegado nada será posible que me envíen ??,Jubilacion Patronal,empresa,Cotizacion
Buen dia necesito una cotizacion sobre un estudio actuarial para una empresa,Jubilacion Patronal,empresa,Cotizacion
"Buenas tardes 
Me puede ayudar por favor con la cotización para un estudio actuarial del año en curso 
agradezco su gentil colaboración ",Jubilacion Patronal,empresa,Cotizacion
"Una consulta, cual es la diferencia entre cálculo actuarial para Pymes y para NIIF completas",Jubilacion Patronal,empresa,Info
"queria hacer una pregunta: existe alguna disposicion de la super de la aplicacion de una tasa de descuento especifica? 
3% o 7% o cualquiera de las tasas son aceptadas en ecuador?",Jubilacion Patronal,empresa,Info
"Daniela, por favor ayudeme, estoy pidiendo asistencia para calculo de jubilaciones de OG DISTRIBUCIONES 
Pero al mail que envie no me ha llegado nada",Jubilacion Patronal,empresa,Info
