Pregunta,respuesta,Tema,Pers/empresa,Polarity,Nota,ambiguedad
 Buenos días. Mi nombre es Oscar Castro. Ayer llamé a su empresa solictando hablar con el Sr. Rodrigo Ibarra. Me señalaron que intentara hoy en la mañana. Es posible contactarle telefónicamete?,,Contacto,,0,,
" quiero saber si ustedes tratan de temas laborales no como empleadores sino como empleados
Asunto puntual renuncia",,Renuncia/Despido/Desahucio,,,,
" se puede jubilar con 28 años de aporte y 61 de edad,?",,Jubilacion Patronal,,,,
 YA ME AYDUARON ,,No Topic,,,,
" se puede jubilar con 28 años de aporte y 61 de edad,?",,IESS,,,,
 YA ME AYudARON ,,No Topic,,,,
¿Cuál es la importancia de realizar un estudio actuarial?,,Jubilacion Patronal,,,,
"¿La pensión por invalidez es mas el sueldo o únicamente la pensión por invalidez?
En el caso de mi papi, el gana 500.00 trabaja 28 años y tiene 58 años de edad. ¿Cuánto le corresponde por jubilación por invalidez?",,IESS,,,,
¿Necesita ayuda con la IA? ,,Consultoria,,,,
"1.      cobertura 10 Maternidad, se describe cómo quedaría la cobertura de maternidad en donde se agrega el que cubran deducible y coaseguro y sino utilizan la red medica de la aseguradora, asi como el costo es extremadamente alto, el asegurado cubrirá el deducible y el coaseguro del 15% sobre el monto pagado.

 

2.        cobertura 14, Alcoholismo y abuso de sustancias toxicas o drogas, para esta cobertura estamos solicitando si es recomendable excluirla de la cobertura como tratamiento de rehabilitación, toda vez que no/no se tiene conocimiento de que haya casos al respecto, para esto UNOPS va revisar la siniestralidad para conocer si no hay caso como tal y estar en condiciones de poder quitarla de la cobertura.

 

3.      cobertura 22, aparatos ortopédicos, se está haciendo la precisión que adicional a los aparatos ortopédicos se cubren unicamente la compra de sillas de ruedas manuales, para que queden fuera las sillas de ruedas eléctricas, asi como tambien se precisa que no cubrirá caminadoras eléctricas ni ningún tipo de aparatos para rehabilitación.

 

4.       enfermedad congénita, esta cobertura originalmente está al 100% no aplica deducible y coaseguro, sin embargo se está incluyendo incluir solamente en la compra de medicamentos deducible para el resto del mundo y los copagos correspondientes por medicamento en EUA.",,Consultoria,,,,
"1.	Tarifa cero

a.	Para tarifa cero existía en la nota técnica una estimación que la SCVS recientemente nos observó para otra compañía. Se ha estimado una nueva tabla y un nuevo valor total de tarifa cero, de acuerdo a la metodología exigida por la SCVS. El valor es igual para todos, por lo cual tendrán que modificar la sección de Tarifa Cero en la sección 12 y el Anexo 2. En el informe modelo que adjunto ya existen los cambios, por lo cual podrían copiar el texto y tabla de ahí.

2.	Coberturas Adicionales

a.	Se actualizó el cálculo de coberturas adicionales de acuerdo a la nueva metodología de ajuste log-normal. Por tanto, tendrán que cambiar todo el texto del Anexo 1. Aquí, sólo se modifican las severidades de cada cobertura y la tarifa individual por cobertura. En cada plantilla del plan ya están actualizados estos valores.

b.	También asegúrense de incluir el valor total de coberturas adicionales en la sección de “Estimación de la Tarifa de Riesgo Anual de las Coberturas Adicionales” de la sección de formulación matemática para el cálculo de tarifa pura.

c.	Para las coberturas adicionales también hay que adicionar el anexo 9 de fuentes estadísticas.

3.	Proyección en la Severidad por Cobertura

a.	Hay que modificar el texto de esta sección por el que está en el informe modelo adjunto.

4.	Valores de tarifas finales

a.	Por favor cambiar los valores de tarifa cero, coberturas adicionales, tarifas finales y cuadros con los que están incluidos en la plantilla final de cada plan.

5.	Cambiar la sección de Certificación que está desactualizada
6.	En unas horas les enviaré un nuevo texto de Depuración para reemplazarlo en todas las notas técnicas.",,Consultoria,,,,
8mi esposa tiene 29 años en la misma empresa y quiere obtener la jubilación patronal su sueldo es de 980 dólares cual seria el monto a persivir ...?,,Jubilacion Patronal,,,,
"A diciembre de 2010, el Seguro de IVM (incluyendo aún el
aporte del Estado del 40%) presentó un déficit actuarial de
US$ 5.142 millones. Considerando que a la fecha de valoración existían 2.067.752 cotizantes, se estimó un déficit per
cápita de US$ 2.486 dólares. Así, en caso de que el IESS mantenga las mismas condiciones de aportación y de pago de beneficios, su patrimonio se descapitalizaría en el largo plazo",,IESS,,,,
A donde puedo mandar mi CV para trabajar en ACTUARIA,,trabaje con nosotros,,,,
A partir de cuántas personas dictan las capacitaciones ?,,Charlas/Capacitaciones,,,,
"acabo de enviar mi CV curriculum
para ver si puedo formar parte de su equipo",,trabaje con nosotros,,,,
"acabo de enviar mi hoja de vida 
para ver si puedo formar parte de su equipo",,trabaje con nosotros,,,,
acabo de enviar mi hoja de vida para ver si puedo formar parte de su equipo,,trabaje con nosotros,,,,
ACTUA R2O,,Consultoria,,,,
"ACTUARIA brinda capacitación en diversas áreas de su especialización, de manera individual y corporativa",,Charlas/Capacitaciones,,,,
ACTUARIA da Asesoría en la Gestión de Procesos de Información?,,Consultoria,,,,
ACTUARIA da un muy buen servicio,,Hi Five,,,,
ACTUARIA es la peor empresa con la que he trabajado. Siempre dan un pesimo servicio,,Queja,,,,
Actuaria es una mala empresa que no nos ha dado la atencion requerida,,Queja,,NP,,
"Adjunto al presente encontrarás los contratos con los cambios que nos ha solicitado Acess, los mismos que serán enviado el día de hoy a ellos para la aprobación previa obtención del Certificado que deben otorgarnos.
requiero que se realice la actualización de las notas técnicas y una vez presentadas las definitivas procederemos 
",,Consultoria,,,,
algoritmos de inteligencia artificial,,Consultoria,,,,
algun numero telefonico de aca de Quito por favor ??,,Contacto,,,,
"analisis vertical de estado de resultados, indicadores financieros",,Otros servicios,,,,
"Análisis vertical y horizontal de estados de resultados, así como la estimación de indicadores financieros.",,Otros servicios,,,,
Andres,,No Topic,,,,
Aplican redes neuronales con machine learning?,,Consultoria,,,,
"Apreciado José Luis.

 

Con base a conversación mantenida el día de ayer en cuanto al oficio 724, en donde solicita la SCVS justificación de la comisión, me permito mencionar que en el cuadro detalle consta el 15.87% basadas en mis ingresos de microseguros, sin embargo de acuerdo a estudio realizado por Actuaria se sustento el 20%, por lo que considero manejemos una comisión del 15% para esta NT.

 

Adicional por favor indíqueme para cuándo tendremos la respuesta a las observaciones de las notas técnicas en los dos oficios.",,Consultoria,,,,
